payment_id,customer_id,amount,payment_method,bank,timestamp,merchant_category,payment_status,failure_code,failure_category,retry_count,gateway_latency_ms,customer_success_rate,previous_failures_30d,previous_successful_retries,customer_tenure_days,subscription_status,hour,day_of_week,device_type,network_type,location_zone,gt_retry_now,gt_retry_later,gt_switch_method,gt_send_notification,gt_stop,gt_best_action,split
PAY_006253,CUST_04475,246,UPI,Axis,2026-08-15 10:44:28,FoodDelivery,FAILED,GATEWAY_TIMEOUT,TEMPORARY,0,3649,0.81,0,4,746,NONE,11,Saturday,Android,5G,Bangalore,0.5365,0.8165,0.6165,0.1965,0.0165,RETRY_LATER,train
PAY_004685,CUST_03168,832,UPI,BOB,2026-08-03 18:06:27,Ecommerce,FAILED,UPI_TECHNICAL_ERROR,TEMPORARY,0,4278,0.9,1,2,89,ACTIVE,19,Monday,iOS,3G,Chennai,0.53,0.81,0.68,0.2,0.03,RETRY_LATER,train
PAY_001732,CUST_02684,871,CARD,BOB,2026-08-27 07:42:26,Ecommerce,FAILED,NETWORK_ERROR,TEMPORARY,0,2872,0.92,0,5,272,TRIAL,8,Thursday,iOS,5G,Chennai,0.513,0.783,0.613,0.183,0.033,RETRY_LATER,train
PAY_004743,CUST_01575,1543,UPI,Axis,2026-08-29 23:08:27,SaaS,FAILED,AUTHENTICATION_FAILED,CUSTOMER,0,2039,0.82,0,4,642,ACTIVE,0,Saturday,Android,4G,Bangalore,0.368,0.518,0.438,0.618,0.118,SEND_NOTIFICATION,train
PAY_004522,CUST_04288,565,UPI,ICICI,2026-08-27 19:00:27,Travel,FAILED,AUTHENTICATION_FAILED,CUSTOMER,0,2508,0.95,0,2,409,CHURNED,19,Thursday,iOS,4G,Bangalore,0.3875,0.5375,0.4575,0.6375,0.1375,SEND_NOTIFICATION,train
PAY_006341,CUST_01549,445,CARD,ICICI,2026-08-02 09:09:28,Travel,FAILED,INSUFFICIENT_FUNDS,CUSTOMER,0,2089,0.67,1,4,560,ACTIVE,10,Sunday,Desktop,3G,Delhi,0.1755,0.4355,0.5755,0.7155,0.0455,SEND_NOTIFICATION,train
PAY_000577,CUST_04508,4069,CARD,PNB,2026-08-05 08:37:25,Travel,FAILED,BANK_TIMEOUT,TEMPORARY,0,1852,0.76,1,0,669,ACTIVE,9,Wednesday,Android,4G,Mumbai,0.559,0.829,0.619,0.209,0.009,RETRY_LATER,train
PAY_005203,CUST_03172,660,UPI,HDFC,2026-08-13 08:39:27,FoodDelivery,FAILED,UPI_TECHNICAL_ERROR,TEMPORARY,0,4982,0.89,0,4,560,TRIAL,9,Thursday,Android,4G,Pune,0.5285,0.8085,0.6785,0.1985,0.0285,RETRY_LATER,train
PAY_006364,CUST_01139,7205,NETBANKING,HDFC,2026-08-17 09:10:28,Ecommerce,FAILED,CARD_EXPIRED,CUSTOMER,0,1100,0.78,1,4,218,TRIAL,10,Monday,iOS,3G,Hyderabad,0.092,0.132,0.562,0.662,0.162,SEND_NOTIFICATION,train
PAY_000440,CUST_00655,124,UPI,Axis,2026-08-07 06:38:25,FoodDelivery,FAILED,BANK_TIMEOUT,TEMPORARY,0,4086,0.83,1,4,58,CHURNED,7,Friday,Web,4G,Kolkata,0.5695,0.8395,0.6295,0.2195,0.0195,RETRY_LATER,train
PAY_002751,CUST_04886,11574,CARD,Axis,2026-08-21 08:51:26,Gaming,FAILED,GATEWAY_TIMEOUT,TEMPORARY,0,4441,0.84,0,4,219,CHURNED,9,Friday,iOS,WiFi,Mumbai,0.541,0.821,0.621,0.201,0.021,RETRY_LATER,train
PAY_007488,CUST_01507,370,CARD,HDFC,2026-08-17 16:39:30,Ecommerce,FAILED,NETWORK_ERROR,TEMPORARY,0,1367,0.8,0,4,104,ACTIVE,17,Monday,Web,WiFi,Delhi,0.495,0.765,0.595,0.165,0.015,RETRY_LATER,train
PAY_005273,CUST_04871,3523,UPI,Yes,2026-08-19 06:25:27,Ecommerce,FAILED,AUTHENTICATION_FAILED,CUSTOMER,0,856,0.8,0,2,604,CHURNED,7,Wednesday,Web,3G,Kolkata,0.365,0.515,0.435,0.615,0.115,SEND_NOTIFICATION,train
PAY_005654,CUST_01686,412,UPI,SBI,2026-08-09 06:57:28,SaaS,FAILED,GATEWAY_TIMEOUT,TEMPORARY,0,2911,0.78,0,0,445,ACTIVE,7,Sunday,iOS,WiFi,Bangalore,0.532,0.812,0.612,0.192,0.012,RETRY_LATER,train
PAY_004000,CUST_01819,496,CARD,Yes,2026-08-07 10:25:26,Ecommerce,FAILED,NETWORK_ERROR,TEMPORARY,0,7304,0.75,1,5,832,ACTIVE,11,Friday,iOS,3G,Hyderabad,0.4875,0.7575,0.5875,0.1575,0.0075,RETRY_LATER,train
PAY_006034,CUST_02848,1520,UPI,HDFC,2026-08-03 11:16:28,SaaS,FAILED,BANK_TIMEOUT,TEMPORARY,0,2822,0.92,0,2,748,NONE,12,Monday,Desktop,5G,Hyderabad,0.583,0.853,0.643,0.233,0.033,RETRY_LATER,train
PAY_000583,CUST_01077,2967,NETBANKING,HDFC,2026-08-23 21:32:25,EdTech,FAILED,INSUFFICIENT_FUNDS,CUSTOMER,0,2312,0.77,0,4,674,TRIAL,22,Sunday,Android,4G,Kolkata,0.1905,0.4505,0.5905,0.7305,0.0605,SEND_NOTIFICATION,train
PAY_009931,CUST_03607,2555,NETBANKING,ICICI,2026-08-06 19:19:32,SaaS,FAILED,AUTHENTICATION_FAILED,CUSTOMER,0,1677,0.94,0,1,734,TRIAL,20,Thursday,Android,5G,Kolkata,0.386,0.536,0.456,0.636,0.136,SEND_NOTIFICATION,train
PAY_007052,CUST_00131,165,NETBANKING,Axis,2026-08-09 15:53:29,SaaS,FAILED,BANK_TIMEOUT,TEMPORARY,0,2974,0.91,1,6,395,ACTIVE,16,Sunday,Android,4G,Mumbai,0.5815,0.8515,0.6415,0.2315,0.0315,RETRY_LATER,train
PAY_008159,CUST_02812,1536,UPI,ICICI,2026-08-17 16:54:30,FoodDelivery,FAILED,GATEWAY_TIMEOUT,TEMPORARY,0,4098,0.79,0,4,8,ACTIVE,17,Monday,iOS,WiFi,Chennai,0.5335,0.8135,0.6135,0.1935,0.0135,RETRY_LATER,train
PAY_009897,CUST_02054,248,WALLET,Kotak,2026-08-23 09:59:32,EdTech,FAILED,NETWORK_ERROR,TEMPORARY,0,6164,0.99,0,1,257,ACTIVE,10,Sunday,Desktop,4G,Delhi,0.5235,0.7935,0.6235,0.1935,0.0435,RETRY_LATER,train
PAY_002250,CUST_04071,287,CARD,SBI,2026-08-04 20:03:26,Travel,FAILED,INSUFFICIENT_FUNDS,CUSTOMER,0,2705,0.91,0,2,617,ACTIVE,20,Tuesday,Desktop,WiFi,Mumbai,0.2115,0.4715,0.6115,0.7515,0.0815,SEND_NOTIFICATION,train
PAY_004641,CUST_03397,1625,NETBANKING,Kotak,2026-08-13 16:38:27,FoodDelivery,FAILED,UPI_TECHNICAL_ERROR,TEMPORARY,0,3451,0.75,1,1,373,ACTIVE,17,Thursday,Android,5G,Chennai,0.5075,0.7875,0.6575,0.1775,0.0075,RETRY_LATER,train
PAY_009486,CUST_01343,2881,UPI,BOB,2026-08-04 18:16:31,Ecommerce,FAILED,INSUFFICIENT_FUNDS,CUSTOMER,0,2101,0.97,0,3,886,TRIAL,19,Tuesday,Web,4G,Delhi,0.2205,0.4805,0.6205,0.7605,0.0905,SEND_NOTIFICATION,train
PAY_004948,CUST_03397,191,UPI,Axis,2026-08-25 05:39:27,EdTech,FAILED,AUTHENTICATION_FAILED,CUSTOMER,0,1627,0.75,0,3,207,ACTIVE,6,Tuesday,Android,4G,Hyderabad,0.3575,0.5075,0.4275,0.6075,0.1075,SEND_NOTIFICATION,train
PAY_009921,CUST_01604,1049,UPI,SBI,2026-08-12 06:37:32,FoodDelivery,FAILED,NETWORK_ERROR,TEMPORARY,0,5847,0.82,1,2,721,ACTIVE,7,Wednesday,Desktop,5G,Mumbai,0.498,0.768,0.598,0.168,0.018,RETRY_LATER,train
PAY_001964,CUST_00415,2297,NETBANKING,ICICI,2026-08-19 15:45:26,SaaS,FAILED,INSUFFICIENT_FUNDS,CUSTOMER,0,1781,0.76,0,0,433,NONE,16,Wednesday,iOS,5G,Kolkata,0.189,0.449,0.589,0.729,0.059,SEND_NOTIFICATION,train
PAY_008244,CUST_01785,544,NETBANKING,PNB,2026-08-11 23:05:30,FoodDelivery,FAILED,INSUFFICIENT_FUNDS,CUSTOMER,0,946,0.88,0,1,289,ACTIVE,23,Tuesday,Android,WiFi,Mumbai,0.207,0.467,0.607,0.747,0.077,SEND_NOTIFICATION,train
PAY_006591,CUST_01091,303,CARD,HDFC,2026-08-07 04:29:29,Ecommerce,FAILED,CARD_EXPIRED,CUSTOMER,0,2307,0.9,1,6,678,ACTIVE,5,Friday,Android,WiFi,Bangalore,0.11,0.15,0.58,0.68,0.18,SEND_NOTIFICATION,train
PAY_008848,CUST_03507,928,CARD,Yes,2026-08-02 17:21:31,SaaS,FAILED,CARD_EXPIRED,CUSTOMER,0,3030,0.79,0,6,804,ACTIVE,18,Sunday,Android,3G,Chennai,0.0935,0.1335,0.5635,0.6635,0.1635,SEND_NOTIFICATION,train
PAY_000322,CUST_01215,1758,UPI,HDFC,2026-08-05 18:33:25,Travel,FAILED,AUTHENTICATION_FAILED,CUSTOMER,0,3350,0.66,0,2,780,ACTIVE,19,Wednesday,Android,WiFi,Pune,0.344,0.494,0.414,0.594,0.094,SEND_NOTIFICATION,train
PAY_002679,CUST_03502,359,CARD,ICICI,2026-08-17 03:16:26,EdTech,FAILED,NETWORK_ERROR,TEMPORARY,0,5979,0.74,1,1,944,ACTIVE,4,Monday,Web,4G,Delhi,0.486,0.756,0.586,0.156,0.006,RETRY_LATER,train
PAY_004626,CUST_00047,492,UPI,ICICI,2026-08-02 19:53:27,Travel,FAILED,NETWORK_ERROR,TEMPORARY,0,4103,0.67,1,4,175,ACTIVE,20,Sunday,iOS,3G,Mumbai,0.4755,0.7455,0.5755,0.1455,0.0,RETRY_LATER,train
PAY_004950,CUST_03799,2006,CARD,SBI,2026-08-10 13:21:27,Travel,FAILED,INSUFFICIENT_FUNDS,CUSTOMER,0,1561,0.85,0,1,384,NONE,14,Monday,iOS,4G,Kolkata,0.2025,0.4625,0.6025,0.7425,0.0725,SEND_NOTIFICATION,train
PAY_008329,CUST_01032,8646,UPI,Axis,2026-08-13 20:48:30,Ecommerce,FAILED,CARD_EXPIRED,CUSTOMER,0,897,0.99,0,3,230,TRIAL,21,Thursday,iOS,5G,Hyderabad,0.1235,0.1635,0.5935,0.6935,0.1935,SEND_NOTIFICATION,train
PAY_003338,CUST_01506,383,NETBANKING,ICICI,2026-08-12 15:23:26,FoodDelivery,FAILED,UPI_TECHNICAL_ERROR,TEMPORARY,0,6041,0.86,2,4,963,ACTIVE,16,Wednesday,Android,WiFi,Mumbai,0.524,0.804,0.674,0.194,0.024,RETRY_LATER,train
PAY_005590,CUST_01161,234,UPI,Kotak,2026-08-20 09:17:28,SaaS,FAILED,INSUFFICIENT_FUNDS,CUSTOMER,0,807,0.92,0,0,38,NONE,10,Thursday,Android,4G,Delhi,0.213,0.473,0.613,0.753,0.083,SEND_NOTIFICATION,train
PAY_000252,CUST_02884,526,NETBANKING,HDFC,2026-08-24 16:45:25,Gaming,FAILED,UPI_TECHNICAL_ERROR,TEMPORARY,0,4409,0.75,0,1,107,TRIAL,17,Monday,Android,WiFi,Chennai,0.5075,0.7875,0.6575,0.1775,0.0075,RETRY_LATER,train
PAY_003974,CUST_00096,841,UPI,Kotak,2026-08-07 22:46:26,Travel,FAILED,CARD_EXPIRED,CUSTOMER,0,1287,0.98,0,4,161,CHURNED,23,Friday,Web,5G,Kolkata,0.122,0.162,0.592,0.692,0.192,SEND_NOTIFICATION,train
PAY_006631,CUST_04549,7996,NETBANKING,Kotak,2026-08-09 20:01:29,Ecommerce,FAILED,INSUFFICIENT_FUNDS,CUSTOMER,0,1231,0.8,1,1,272,TRIAL,20,Sunday,Android,WiFi,Hyderabad,0.195,0.455,0.595,0.735,0.065,SEND_NOTIFICATION,train
PAY_005548,CUST_02391,1639,NETBANKING,Axis,2026-08-26 15:10:28,FoodDelivery,FAILED,NETWORK_ERROR,TEMPORARY,0,4076,0.96,0,3,990,NONE,16,Wednesday,Web,5G,Delhi,0.519,0.789,0.619,0.189,0.039,RETRY_LATER,train
