payment_id,amount,failure_code,failure_category,retry_count,ai_diagnosis,selected_action,expected_recovery,actual_result,recovered_amount,stopping_reason,timestamp_step
PAY_005384,1377,AUTHENTICATION_FAILED,CUSTOMER,0,NO_ACTION,STOP,0.0,STOPPED,0.0,NO_RECOVERY_ATTEMPTED,0
PAY_000553,140,NETWORK_ERROR,TEMPORARY,0,NO_ACTION,STOP,0.0,STOPPED,0.0,NO_RECOVERY_ATTEMPTED,0
PAY_003145,368,BANK_TIMEOUT,TEMPORARY,0,NO_ACTION,STOP,0.0,STOPPED,0.0,NO_RECOVERY_ATTEMPTED,0
PAY_006918,752,GATEWAY_TIMEOUT,TEMPORARY,0,NO_ACTION,STOP,0.0,STOPPED,0.0,NO_RECOVERY_ATTEMPTED,0
PAY_002057,876,UPI_TECHNICAL_ERROR,TEMPORARY,0,NO_ACTION,STOP,0.0,STOPPED,0.0,NO_RECOVERY_ATTEMPTED,0
PAY_001926,1256,LIMIT_EXCEEDED,CUSTOMER,0,NO_ACTION,STOP,0.0,STOPPED,0.0,NO_RECOVERY_ATTEMPTED,0
PAY_000635,1682,CARD_EXPIRED,CUSTOMER,0,NO_ACTION,STOP,0.0,STOPPED,0.0,NO_RECOVERY_ATTEMPTED,0
PAY_006083,505,GATEWAY_TIMEOUT,TEMPORARY,0,NO_ACTION,STOP,0.0,STOPPED,0.0,NO_RECOVERY_ATTEMPTED,0
PAY_009271,2136,CARD_EXPIRED,CUSTOMER,0,NO_ACTION,STOP,0.0,STOPPED,0.0,NO_RECOVERY_ATTEMPTED,0
PAY_009679,1950,LIMIT_EXCEEDED,CUSTOMER,0,NO_ACTION,STOP,0.0,STOPPED,0.0,NO_RECOVERY_ATTEMPTED,0
PAY_000106,747,BANK_TIMEOUT,TEMPORARY,0,NO_ACTION,STOP,0.0,STOPPED,0.0,NO_RECOVERY_ATTEMPTED,0
PAY_003042,274,BANK_TIMEOUT,TEMPORARY,0,NO_ACTION,STOP,0.0,STOPPED,0.0,NO_RECOVERY_ATTEMPTED,0
PAY_001710,2169,CARD_EXPIRED,CUSTOMER,0,NO_ACTION,STOP,0.0,STOPPED,0.0,NO_RECOVERY_ATTEMPTED,0
PAY_000090,1097,CARD_EXPIRED,CUSTOMER,0,NO_ACTION,STOP,0.0,STOPPED,0.0,NO_RECOVERY_ATTEMPTED,0
PAY_007015,218,CUSTOMER_DECLINED,HARD,0,NO_ACTION,STOP,0.0,STOPPED,0.0,NO_RECOVERY_ATTEMPTED,0
PAY_003175,279,INSUFFICIENT_FUNDS,CUSTOMER,0,NO_ACTION,STOP,0.0,STOPPED,0.0,NO_RECOVERY_ATTEMPTED,0
PAY_000918,178,CARD_EXPIRED,CUSTOMER,0,NO_ACTION,STOP,0.0,STOPPED,0.0,NO_RECOVERY_ATTEMPTED,0
