payment_id,amount,failure_code,failure_category,retry_count,ai_diagnosis,candidate_actions,selected_action,expected_recovery,actual_result,recovered_amount,stopping_reason,timestamp_step
PAY_005384,1377,AUTHENTICATION_FAILED,CUSTOMER,0,CUSTOMER,"{'RETRY_NOW': 0.37087290021393327, 'RETRY_LATER': 0.5240348649296817, 'SWITCH_METHOD': 0.44578902544217325, 'SEND_NOTIFICATION': 0.6251951661505848, 'STOP': 0.12322693756507609}",SEND_NOTIFICATION,860.8937437893553,FAILED,0.0,,0
PAY_005384,1377,AUTHENTICATION_FAILED,CUSTOMER,1,CUSTOMER,"{'RETRY_NOW': 0.37087290021393327, 'RETRY_LATER': 0.5240348649296817, 'SWITCH_METHOD': 0.44578902544217325, 'SEND_NOTIFICATION': 0.6251951661505848, 'STOP': 0.12322693756507609}",SEND_NOTIFICATION,860.8937437893553,SUCCESS,1377.0,,1
PAY_000553,140,NETWORK_ERROR,TEMPORARY,0,TEMPORARY,"{'RETRY_NOW': 0.48138936127151255, 'RETRY_LATER': 0.7582761582299571, 'SWITCH_METHOD': 0.5907750176163885, 'SEND_NOTIFICATION': 0.15844249748521957, 'STOP': 0.00746119185627448}",RETRY_LATER,106.158662152194,FAILED,0.0,,0
PAY_000553,140,NETWORK_ERROR,TEMPORARY,1,TEMPORARY,"{'RETRY_NOW': 0.48138936127151255, 'RETRY_LATER': 0.7582761582299571, 'SWITCH_METHOD': 0.5907750176163885, 'SEND_NOTIFICATION': 0.15844249748521957, 'STOP': 0.00746119185627448}",RETRY_LATER,106.158662152194,FAILED,0.0,,1
PAY_000553,140,NETWORK_ERROR,TEMPORARY,2,TEMPORARY,{},STOP,0.0,STOPPED,0.0,MAX_RETRIES_REACHED,2
PAY_003145,368,BANK_TIMEOUT,TEMPORARY,0,TEMPORARY,"{'RETRY_NOW': 0.5780061904791973, 'RETRY_LATER': 0.8531322867174927, 'SWITCH_METHOD': 0.6423667953759395, 'SEND_NOTIFICATION': 0.23106464820244738, 'STOP': 0.03150091080640833}",RETRY_LATER,313.9526815120373,SUCCESS,368.0,,0
PAY_006918,752,GATEWAY_TIMEOUT,TEMPORARY,0,TEMPORARY,"{'RETRY_NOW': 0.5305124918837583, 'RETRY_LATER': 0.8154658479514914, 'SWITCH_METHOD': 0.6208221579900054, 'SEND_NOTIFICATION': 0.20336733053742942, 'STOP': 0.01829119490493792}",RETRY_LATER,613.2303176595215,SUCCESS,752.0,,0
PAY_002057,876,UPI_TECHNICAL_ERROR,TEMPORARY,0,TEMPORARY,"{'RETRY_NOW': 0.512210861615233, 'RETRY_LATER': 0.7954582701571247, 'SWITCH_METHOD': 0.6652811854804807, 'SEND_NOTIFICATION': 0.19517399930742227, 'STOP': 0.018162388201534378}",RETRY_LATER,696.8214446576412,SUCCESS,876.0,,0
PAY_001926,1256,LIMIT_EXCEEDED,CUSTOMER,0,CUSTOMER,"{'RETRY_NOW': 0.21823748104419816, 'RETRY_LATER': 0.3792220190820007, 'SWITCH_METHOD': 0.48403918918878625, 'SEND_NOTIFICATION': 0.5560145146736841, 'STOP': 0.08249431445364402}",SEND_NOTIFICATION,698.3542304301473,SUCCESS,1256.0,,0
PAY_000635,1682,CARD_EXPIRED,CUSTOMER,0,CUSTOMER,"{'RETRY_NOW': 0.11918159652354125, 'RETRY_LATER': 0.15474985617056036, 'SWITCH_METHOD': 0.5849752003466635, 'SEND_NOTIFICATION': 0.6898436327737695, 'STOP': 0.1922827813056365}",SEND_NOTIFICATION,1160.3169903254802,SUCCESS,1682.0,,0
