payment_id,amount,failure_code,failure_category,retry_count,ai_diagnosis,candidate_actions,selected_action,expected_recovery,actual_result,recovered_amount,stopping_reason,timestamp_step
PAY_005384,1377,AUTHENTICATION_FAILED,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,859.248,SUCCESS,1377.0,,0
PAY_000553,140,NETWORK_ERROR,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,106.05,SUCCESS,140.0,,0
PAY_003145,368,BANK_TIMEOUT,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,313.35200000000003,SUCCESS,368.0,,0
PAY_006918,752,GATEWAY_TIMEOUT,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,615.136,SUCCESS,752.0,,0
PAY_002057,876,UPI_TECHNICAL_ERROR,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,699.048,SUCCESS,876.0,,0
PAY_001926,1256,LIMIT_EXCEEDED,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,692.684,SUCCESS,1256.0,,0
PAY_000635,1682,CARD_EXPIRED,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,1158.898,SUCCESS,1682.0,,0
PAY_006083,505,GATEWAY_TIMEOUT,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,414.60499999999996,SUCCESS,505.0,,0
PAY_009271,2136,CARD_EXPIRED,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,1414.0320000000002,SUCCESS,2136.0,,0
PAY_009679,1950,LIMIT_EXCEEDED,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,1139.775,SUCCESS,1950.0,,0
PAY_000106,747,BANK_TIMEOUT,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,633.8295,FAILED,0.0,SINGLE_ATTEMPT_EXHAUSTED,0
PAY_003042,274,BANK_TIMEOUT,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,230.845,SUCCESS,274.0,,0
PAY_001710,2169,CARD_EXPIRED,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,1468.413,SUCCESS,2169.0,,0
PAY_000090,1097,CARD_EXPIRED,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,754.1875,SUCCESS,1097.0,,0
PAY_007015,218,CUSTOMER_DECLINED,HARD,0,RULE_BASED,{},STOP,0.0,STOPPED,0.0,RULE_HARD_FAILURE,0
PAY_003175,279,INSUFFICIENT_FUNDS,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,200.88,SUCCESS,279.0,,0
PAY_000918,178,CARD_EXPIRED,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,118.37,SUCCESS,178.0,,0
PAY_007834,1677,BANK_TIMEOUT,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,1377.6555,FAILED,0.0,SINGLE_ATTEMPT_EXHAUSTED,0
PAY_006733,1837,GATEWAY_TIMEOUT,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,1530.221,FAILED,0.0,SINGLE_ATTEMPT_EXHAUSTED,0
PAY_001950,1530,INSUFFICIENT_FUNDS,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,1136.025,SUCCESS,1530.0,,0
PAY_006369,703,NETWORK_ERROR,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,548.34,SUCCESS,703.0,,0
PAY_000002,809,UPI_TECHNICAL_ERROR,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,648.009,SUCCESS,809.0,,0
PAY_008033,253,BANK_TIMEOUT,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,212.39350000000002,SUCCESS,253.0,,0
PAY_006048,2521,INSUFFICIENT_FUNDS,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,1799.994,SUCCESS,2521.0,,0
PAY_002721,605,NETWORK_ERROR,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,465.54749999999996,SUCCESS,605.0,,0
PAY_009813,281,UPI_TECHNICAL_ERROR,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,228.0315,SUCCESS,281.0,,0
PAY_003118,99,NETWORK_ERROR,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,76.32900000000001,SUCCESS,99.0,,0
PAY_009466,336,CUSTOMER_DECLINED,HARD,0,RULE_BASED,{},STOP,0.0,STOPPED,0.0,RULE_HARD_FAILURE,0
PAY_003763,870,CARD_EXPIRED,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,596.82,SUCCESS,870.0,,0
PAY_000214,938,BANK_TIMEOUT,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,784.6370000000001,SUCCESS,938.0,,0
PAY_000779,8592,LIMIT_EXCEEDED,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,4970.472,SUCCESS,8592.0,,0
PAY_003497,195,BANK_TIMEOUT,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,163.995,SUCCESS,195.0,,0
PAY_008818,1864,BANK_TIMEOUT,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,1536.868,SUCCESS,1864.0,,0
PAY_002044,99,INVALID_ACCOUNT,HARD,0,RULE_BASED,{},STOP,0.0,STOPPED,0.0,RULE_HARD_FAILURE,0
PAY_005421,863,AUTHENTICATION_FAILED,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,524.2725,SUCCESS,863.0,,0
PAY_006155,1161,NETWORK_ERROR,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,921.2535,SUCCESS,1161.0,,0
PAY_008358,873,BANK_TIMEOUT,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,727.6455,FAILED,0.0,SINGLE_ATTEMPT_EXHAUSTED,0
PAY_008708,99,BANK_TIMEOUT,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,85.4865,SUCCESS,99.0,,0
PAY_008466,1368,NETWORK_ERROR,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,1044.4679999999998,SUCCESS,1368.0,,0
PAY_004168,4593,GATEWAY_TIMEOUT,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,3660.621,SUCCESS,4593.0,,0
PAY_003789,1611,INSUFFICIENT_FUNDS,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,1167.1695,SUCCESS,1611.0,,0
PAY_000584,337,UPI_TECHNICAL_ERROR,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,262.3545,SUCCESS,337.0,,0
PAY_009912,4511,UPI_TECHNICAL_ERROR,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,3694.5089999999996,FAILED,0.0,SINGLE_ATTEMPT_EXHAUSTED,0
PAY_009987,2635,NETWORK_ERROR,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,2082.9674999999997,SUCCESS,2635.0,,0
PAY_000117,359,BANK_TIMEOUT,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,295.457,SUCCESS,359.0,,0
PAY_006645,621,INSUFFICIENT_FUNDS,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,449.91450000000003,SUCCESS,621.0,,0
PAY_009034,2688,UPI_TECHNICAL_ERROR,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,2185.344,SUCCESS,2688.0,,0
PAY_009952,99,BANK_TIMEOUT,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,84.00150000000001,SUCCESS,99.0,,0
PAY_008960,1357,CARD_EXPIRED,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,912.5825,SUCCESS,1357.0,,0
PAY_001764,4245,LIMIT_EXCEEDED,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,2392.0575,FAILED,0.0,SINGLE_ATTEMPT_EXHAUSTED,0
PAY_001876,342,BANK_TIMEOUT,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,291.726,SUCCESS,342.0,,0
PAY_003225,2596,CUSTOMER_DECLINED,HARD,0,RULE_BASED,{},STOP,0.0,STOPPED,0.0,RULE_HARD_FAILURE,0
PAY_000527,5839,AUTHENTICATION_FAILED,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,3757.3965,SUCCESS,5839.0,,0
PAY_007726,99,AUTHENTICATION_FAILED,CUSTOMER,0,RULE_BASED,{},SEND_NOTIFICATION,63.7065,FAILED,0.0,SINGLE_ATTEMPT_EXHAUSTED,0
PAY_002947,911,UPI_TECHNICAL_ERROR,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,706.4805,SUCCESS,911.0,,0
PAY_004474,3127,UPI_TECHNICAL_ERROR,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,2495.346,SUCCESS,3127.0,,0
PAY_005656,239,GATEWAY_TIMEOUT,TEMPORARY,0,RULE_BASED,{},RETRY_LATER,196.93599999999998,SUCCESS,239.0,,0
